,1,2,3,4,5,6,7,8,9,10,11,12
17,,2.1,32.7,0.2,,21.7,,24.7,,,,
18,0,,20.3,4.1,,14.9,10.7,8.9,,,,
19,0,0.3,,,,1.1,0.3,7.9,6.2,,,
20,0.3,,0.1,,,34.5,,31.3,22.7,0.5,,
21,1.3,,0.9,,,10.5,,4.5,0,,,
22,,1,0.2,,,,,,,,3.4,
23,,1.5,,,44.8,41.4,51.7,,,,7,
24,,0.9,0.2,,0.7,47.5,10.5,67.4,,,,
25,,0.2,,,,55.6,,,,,,
26,0.3,,,,,10,,,2.1,,,
27,0.1,,,0.1,,5.1,,,25.5,0,,
28,1.5,,,57,,3.8,,,,38.1,0.2,
29,,-999,3.3,3.6,,,,,,1.4,0,
30,,-999,2.3,,,8.4,0.5,,43.2,,1.9,
31,,-999,,-999,,-999,30,,-999,,-999,0
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,,,2.7,,,,86.5,,,,,0.2
2,0.5,1.7,0.6,,,9.3,33.7,,1.8,,,3.5
3,1.7,2,1.7,,,29.7,,,27.2,4.7,,0.9
4,1.6,,6.6,,,,8,,,44,0.6,
5,17,1.5,13.1,0.2,13,,7,,1.5,1.9,,4.5
6,,,,,42.8,8.1,,11.2,16.5,7.5,0.4,
7,0,,,22.3,0.2,,,28.4,42.9,,0,
8,0,,0,,,0.4,,23.8,3.1,,,0.5
9,,0,0.2,,8.7,,,9.8,1.3,,,
10,,2.1,0.1,,,0.3,1,3.2,,,,
11,2.4,0.8,0,0,1.3,,18.4,,,,9.8,
12,,,,,1.6,,,,,,,0
13,,0.1,0,,,,,25.4,7.5,,,
14,0.2,0.6,,,6.9,69.7,,8.6,,,,
15,0.7,1.3,0,,95.4,14.1,,2.2,,,,
16,0,0.5,0.3,,,,,,0,,,
17,,,1.4,,,,,76.5,,,3,
18,,0.4,,0,,,12.6,112.4,,,,
19,,2.4,,,,9.2,50.3,62.2,0.5,,,
20,,,,,,11.5,0.4,,0.5,,,0
21,0,,,26.1,1.8,0.1,,,5.2,,,0
22,0.2,0,,,54,13.7,,1.2,1,,,0
23,0,0.2,0,0,17.9,3.1,13.6,21.7,0.2,,,
24,0.1,0.3,,,1.7,0.5,5.7,,31.5,,,
25,,,,,34.4,0.1,24.9,,,,,
26,0,,,3.5,50.1,,21.4,,7.3,3.7,2.9,
27,0.7,0,,,0.2,1.6,,,6.2,1.1,8.3,0.8
28,0.8,,,0,,32.2,18.7,,0.1,13.7,11.9,0.1
29,2.4,0,,,,1.7,82,,,22,1.9,0.9
30,,-999,0,,61,,14.8,,,1.6,0.3,1.3
31,0.2,-999,1.3,-999,,-999,12.4,,-999,,-999,
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,,,,0,46.1,0.8,10.8,,43.3,5.4,0.1,
2,,,3,0.3,20,29.9,,,1.3,0.2,,
3,1.4,,,12.5,,4.8,8.8,60.9,,,,
4,,10.8,0,,26.9,0.9,46.8,1.3,69.2,,,
5,2.2,,,,,1,0.8,2.6,48.4,,,
6,1.5,,,0.1,34.1,4.2,,,8.8,,,
7,0.2,,,,,5.4,6.6,35.5,7.7,,,
8,2.2,,,0,,,12,77.4,8.8,,1.2,
9,1.3,0.2,0.1,1.2,,,0.2,60.1,0.2,,,
10,,,,1.9,,71.4,,0.4,,,1.2,
11,,1.5,,0.2,,,0.2,,10.6,,11,0
12,0.5,3.6,,,,,14.2,,17.2,,,
13,,0.1,,,,,,,0,,,12.8
14,,2.8,,,,,,,,,,4.1
15,0.5,4.3,0,,,,,,,0.1,,7.2
16,0.4,,,0,,1.1,15.6,,,0.5,0.8,11
17,2.4,0.2,,,10,,42.4,,20.7,57.7,,0.1
18,,,,,1.8,,31.6,26.2,,44.3,,
19,,0.4,,,0.8,,32,1.9,,4.4,0.1,
20,,3.5,,,,,,26.8,19.4,,0,
21,,0.8,,2.6,17,,0.3,14.6,,,0.4,
22,,2.7,,0,,1.5,3.9,23.5,,,,
23,,,,,6.2,19.8,24.4,,,,0.1,
24,0,,,,,63.1,0.5,6.7,3.1,0,,
25,,,,,2.5,11,,,74.1,,,
26,1.5,,,5.1,2.1,,,41.4,56.6,,,
27,0.3,,,,,,60.2,,0.7,,1.9,
28,,,0,0,,,14.3,,,0,5,
29,0.1,-999,0.4,11.6,0.1,,28.1,,,2.3,,
30,,-999,2.6,,5.5,12.5,3.4,,0.1,0.9,,
31,1.6,-999,28.8,-999,,-999,2.9,1.9,-999,1.1,-999,
2014,1,2,3,4,5,6,7,8,9,10,11,12
1,,,0,,0.9,1.9,5.7,,0.1,,,14.8
2,,,0.2,2,,,1.1,,29.4,,,
3,,,0.5,0.5,,,6.4,4.8,3.5,,1.4,0
4,,,0.2,8.2,,1.1,0.2,0.1,1,,,3.4
5,,,,1.9,17.8,1.9,3.9,11.9,0,48.5,,
6,,,0.3,7.6,2.4,,0.6,0.1,4,,2.6,
7,,,2.7,8.7,0.2,43.6,,3.4,,,18.6,0
8,,0,1.1,0,2.5,19.9,9.7,,,,5.1,
9,,,2.5,2.4,,,,23.5,0.7,,3.5,
10,,,1.4,4.8,,2.5,,,20.8,,0.1,0.5
11,,,0.1,,0,5.5,0.1,,,,0.4,
12,0.2,0,1.2,,4.7,3.6,,3.2,,,0.3,0.1
13,2.8,,2.2,,,1.2,2.7,107.3,,,,
14,,,2.7,,,12,36.3,0.6,,,,
15,,,,,,0.1,,,,,,
16,,0.1,1.5,,,,,3.9,1.6,,2.9,
17,,0.3,0.7,,0.2,46.9,0,0,69.3,,,
18,,1.2,0.8,,16.3,30.8,,,4.8,,,
19,,4.2,1.1,,4.8,4.7,13.9,0.2,,,,
20,,,1.3,0.1,4.4,,33.6,2.1,1.4,,,
21,,,14.6,,,,9.2,,74.2,,,
22,,1.2,7.1,0.1,,16,0.2,0.4,,89.5,,
23,,2.5,17.6,,,,,,,0,,
24,,0.3,8.6,0,,0.1,,0,,3.2,,
25,0.9,0.1,,0.6,16.6,,0.2,0,,0,,
26,,0.5,0,1,0,,1.2,2.7,,,,0.4
27,,0,,78.1,,,8.4,2.5,,,,1
