,1,2,3,4,5,6,7,8,9,10,11,12
4,1.5,1.9,2.4,0.3,2.7,4.7,6.3,2.4,3.7,5.2,3.5,2.8
5,1.3,1.2,2.4,0.5,2.3,4.5,7.8,3.3,2.9,3.7,3,1.7
6,1.7,1.8,2.4,0.8,2.7,3.5,6.8,3.5,2.1,4.7,3.5,1.2
7,1.3,2.8,3.8,0.8,2.1,3.3,7.3,3.5,3.4,3.8,3.2,2.7
8,2.4,2.8,1.5,1.8,2.6,3.4,5.7,2.7,2.8,4.9,3.1,4.5
9,1.4,2.9,3.5,1.7,2.8,4.1,5,2.1,3.7,3.5,3.7,3.2
10,1.1,3.4,4.1,1,3,3.9,5.8,2.6,3.2,2.9,3.3,2.8
11,2.1,4,3.9,1.2,1.5,3.2,4.9,2.4,2.3,2.5,3.2,0.8
12,3.7,3.8,2,1.6,2.7,2.5,4.6,1.8,2,2.5,4.3,1.4
13,2.8,1.9,1,1.6,3.2,3.7,2.6,2.9,2.1,2,4.1,1.3
14,3.9,0.8,0.6,0.7,2.8,6,2.5,2.9,1.3,2.3,2.6,0.8
15,2.3,1.5,0.7,1.5,2.1,5.3,3.7,2.6,1.7,2.8,2.8,0.4
16,1.4,2.2,2,2,3,6.7,3.7,2.6,2.2,1.8,2.5,2.2
17,2.5,2.3,2,1.1,2.7,7.7,3.7,1.9,2.4,0.8,3.2,3.4
18,2.5,2.5,1.5,1.1,2.7,5.9,3,1.8,3.4,1,2.2,3.1
19,2.5,2.6,1.7,2.6,3.9,6.9,4,3.2,3.3,3,3.5,1.5
20,1.2,2.8,1.5,3.8,5.1,4.6,3.9,3.1,3.1,4.6,2.5,0.9
21,0.3,1.5,1,3.3,5,2,2.1,2.1,3.2,4,1.9,0.6
22,0.4,1.3,1.3,3.3,5.3,2.3,1.7,2.1,2.9,4,2.4,1.6
23,1,1.2,1.5,4,4.1,3.1,2.3,2,1.8,2.9,2.6,1.1
24,1.2,1.5,1.6,2.8,2.8,5,2.6,1.7,2.4,2.3,1.3,1.3
25,1.1,3.2,5.7,2.4,3.3,5,1.7,1.8,2.3,2.5,2.5,2
26,1.9,4.4,5.6,2.4,3.3,2.6,2.7,2.5,1.7,2.7,1.7,3.9
27,1.4,2.7,4.3,4.3,2.7,3.8,2.3,1.3,2.4,3.7,1.8,3
28,0.9,2.1,2.7,3.1,2.6,4.3,3.1,0.9,2.3,4.6,1.5,1.9
29,1.2,-999,3.4,2.5,2,3.5,3.1,1,2.2,4.9,2.3,1.2
30,2.1,-999,1.8,2.3,2,2.7,3.6,2.3,2.3,4.4,2.1,2.1
31,1.9,-999,1.4,-999,2.9,-999,4,2.7,-999,3.9,-999,3.1
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,1.8,2.1,1.4,3.2,2.5,3.5,2.5,1.3,4.5,0.7,2.3,1.1
2,0.9,2.3,1.5,2.1,3.4,4,4.3,1,3.8,2.2,2.4,3.3
3,2.9,1.6,1.1,1.8,2.1,3.1,3.7,2.4,2.5,4.5,3,2.6
4,0.9,2.5,0.9,1.8,2.3,3.7,3.8,3.7,2.7,4.7,2.8,2.2
5,0.9,1.9,0.4,1.4,1.1,3.7,4,3.6,1.7,0.7,2.1,2.4
6,1.6,1.5,0.6,0.4,2,2.3,4.6,2.7,2.7,0.5,2.4,1.2
7,2.9,1.4,1.8,0.4,3.1,3.1,5.6,2.7,3.6,0.4,2.4,0.5
8,1.9,1.6,2.4,1.3,3.9,2.9,3.6,2.1,3.3,0.2,2.5,2.1
9,1.2,1.9,2.3,1.9,2.9,3.2,2.4,1.6,1.8,1.5,4.8,4.2
10,1.7,2.2,1.6,2.5,5,3.1,2,1.6,1.4,1.6,4.7,4.9
11,2.2,2.6,1.1,2.2,4,2.8,2,0.7,1.4,2.9,3.2,4.3
12,2.6,1.6,1.3,3,1.8,2.6,2.5,1.5,1.1,1.5,3.2,3.3
13,2.1,1.2,1.5,3.7,1.8,2.3,1.5,2.3,1.3,1.2,2.8,2.9
14,1.1,2.5,1.1,3.2,2,2.7,1.4,3.2,1.1,1.6,2.7,3.5
15,2.8,0.9,0.8,1.9,1.4,2.6,1.6,4,1.6,3,2.7,5.4
16,3,0.4,0.9,1.7,2.1,3.2,2.6,3.8,1.9,5,2.4,3.6
17,2.4,1.3,0.5,1.3,3.8,2,3.3,3.1,2.9,3.9,2,3.8
18,1.3,1.2,0.5,2.1,3.1,2.1,2.7,1.6,2.5,4,2.1,2
19,0.9,1.2,1.1,3,3.1,2.6,2.3,1.3,1.8,4,2.9,2.2
20,0.8,2.1,1.3,2.8,2.1,2.5,3.7,1.2,1.4,2.6,3.4,2
21,2.5,1.2,0.7,2.4,2.5,2.5,3.1,1.9,2.4,2.3,2.6,2
22,2.5,0.8,2.2,1.4,3.1,2.9,3.2,2.5,3.4,2.9,1.4,3.2
23,2.2,0.5,3.6,4.5,3.1,3,2.5,2.5,3.8,3.6,1.3,3.6
24,2.7,0.9,1.7,3.4,2.2,0.9,2.7,1.7,4.8,3.7,2.2,4.7
25,2.9,0.7,3.1,3.7,2.3,1.1,3.7,3.6,5.1,3.1,2.3,3.9
26,2,1.6,3.3,3.6,3.9,2.8,5.2,4.4,3,3.3,2.4,3.2
27,1.4,1.9,2.4,2.4,4.3,2,4.4,3,1,1.8,2.7,2.9
28,1.4,1.2,2.9,1.3,4.7,2.3,4.9,3.8,2.4,0.7,1.8,2.2
29,2.6,-999,1.8,1.3,4.3,2.9,4.2,4,3.1,2,1.5,2.1
30,2.6,-999,1.9,1.7,3.9,1.6,4.2,4.2,1.6,1.9,2.1,2.5
31,2.1,-999,3.3,-999,3.5,-999,1.4,4.2,-999,2.2,-999,2.8
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,1.7,1.3,0.6,3.1,6.1,3.2,1.6,2.8,3.4,4.9,5.5,0.4
2,0.8,0.5,0.3,3.4,5.5,2.2,1.9,3.7,3,4.2,4.2,1.5
3,0.2,1,0.3,1.4,4.5,2.4,1.4,4.9,2.3,3.1,3.1,1.1
4,0.7,1,0.2,1.4,5.1,2.4,1.8,4.8,3.3,1.8,2.8,1.3
5,0.9,1.1,1.3,1.5,2.8,3,2.8,4.9,4.3,1.9,2.8,1.7
6,1.1,1.6,1.7,1.7,2.3,2.1,3.6,1.9,1.6,1.2,3.1,2.6
7,1.1,3,2,1.3,1.5,2.3,1.7,0.7,1.2,2.3,2.5,2.3
8,0.9,3.1,0.9,2.4,2.9,2.3,1.8,1.1,1,2.1,3.5,1.1
9,1.4,0.8,1,2.5,3.6,3.1,2.5,1.6,1.9,2.2,3.6,1.2
10,1.6,0.5,3.9,1.9,3.4,3.2,3.4,2.3,3.3,3.4,2.4,1.7
11,1.5,0.8,2.3,1.6,2.9,4.6,3.1,2.7,3.5,3.4,2.1,1.9
12,1.4,1,2,2.4,3.2,5.1,3.3,3.1,3.5,4,3.1,1.9
13,1.1,0.6,1.3,2.4,3.2,4.1,4.2,1.8,2.7,3.8,2,1.1
14,0.6,0.8,1.4,1.8,3.6,4.4,3.4,2.2,4,3.6,1.7,1
15,0.4,0.5,1.2,1.7,2.6,1.9,4.7,2.4,3.6,3.9,2.3,1.8
16,1.4,1.3,0.7,1.7,3.9,3.3,5.9,3.1,2.7,3.7,1.7,2.4
17,1.7,2.5,0.3,2.2,3.8,4.4,4.7,1.7,4.3,3.8,5.1,2.1
18,0.8,1.3,0.5,2.1,3.5,4.1,5.4,1.2,4,3.5,3.3,2.6
19,0.6,1.8,1.4,2.2,2.5,4.7,2.1,1.3,3.3,3.2,1.6,3.2
20,0.6,2.2,0.8,2.8,3.3,1.9,2.6,1.9,2.1,3.5,2.4,0.6
21,0.4,1.7,0.6,3.5,2,2.8,4.2,1.4,2.6,2.9,2.5,1.1
22,1.1,0.9,1.1,3.8,1.2,2.9,4.9,2.2,3.7,2.7,2.7,2
23,2.7,0.7,2.3,2.8,1.3,2.4,2.9,3.1,3.3,2.9,2.8,3.8
24,1,1.4,5.4,4.7,1.6,3.2,4.3,3.8,3.2,2.6,2.9,3.7
25,2.4,2.3,3.6,4.7,1,4.1,0.9,3.3,2.4,2.9,1.1,2.5
26,1.1,2.7,3.1,6.2,1,5.5,2.9,3.5,1.8,2.8,2.6,1.7
27,0.5,2,3.9,3.4,1.6,3.7,3.2,3.3,3.7,3.3,1.3,0.8
28,0.4,1.6,2,3.5,1.6,3.6,2.3,3.5,3.4,1.4,0.8,0.8
29,0.9,0.5,1.8,3.2,2.3,2.6,1.2,3,5.8,2.2,0.4,0.7
30,1.3,-999,1.4,5,1.6,2.3,1.5,3,5.3,2.9,0.4,4.9
31,1.8,-999,2.6,-999,2.7,-999,1.3,3.3,-999,6,-999,4.3
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,3,1.4,2.3,0.9,1.8,3.6,3.3,3.5,0.9,2.5,1.8,3.6
2,2.1,1.9,2,1.4,1.6,3.3,3,3.3,0.8,2.5,2.5,3.1
3,0.9,2.5,4,1.3,2.1,2.7,2.1,1.5,1.3,3.9,3,3.3
4,1.2,1.5,3.4,1.6,1.2,3,3,2.7,0.8,3.9,4.3,3
5,0.6,1.9,4,1.6,2.2,3,3.6,3.9,0.3,2.7,4.7,3.2
6,0.9,2.4,3.5,4.1,2.1,3.8,3.6,3,0.6,4.1,3.8,2.5
7,1,3,2.7,4.7,1.7,3,3.6,2.2,1.7,5.6,3,3.1
8,0.4,2.3,2.5,2.7,2.1,3.7,3.4,0.8,1.2,6.1,1.9,2.6
9,1.7,2,3.1,1.3,2.2,5.9,2.7,1,1.6,4.7,2,2.3
10,2.9,1.8,1.9,1.8,2.3,2.5,3.1,1.3,2,3.9,1.8,2.1
11,2.1,1,2.8,1.9,3.7,2.8,2.3,1.8,1.6,3.9,1.8,2.3
12,2.4,0.5,0.8,3.1,2.6,5.6,2.8,3.4,1.3,3.6,3.2,2.2
13,2.1,1.1,2.1,3.1,2.6,5.1,3.1,3.8,1.2,3.1,3.7,1.6
14,1.3,0.7,2.4,2.5,3.4,5.4,2.3,4.2,2.5,3.4,3.2,1
15,0.4,0.8,2,2.4,5,5.2,2.1,3.4,2.6,3.6,3.5,0.6
16,0.3,1.7,2.6,2.4,5.9,2.9,1.7,3.5,3.1,3.5,2.1,0.5
17,0.7,1.1,1.9,2.8,3.5,3.1,1.9,4.9,2,1,3.1,2.1
18,1.7,1.2,2.2,2.2,2.6,3.1,1.7,3.6,3,0.5,3,3.8
19,1.1,0.6,3.1,2.3,4,3.2,2.1,3.2,5.1,1.6,3,3.1
20,0.7,0.9,2.6,1.9,4.1,3,2,1,1.7,2.8,1.7,2.8
21,1.3,0.7,2.4,1.5,3,3.1,2.5,2.2,2.4,2.8,1,2.7
22,1.2,1.4,2.3,1.7,3.2,3.1,1.5,1.9,3.6,3.6,1,2.9
23,2,2.6,2.7,2.2,2.8,2,0.8,2.8,2.7,4.3,0.7,2.9
24,1.2,2.8,3.2,2.6,2,1.4,2.3,1.9,1.3,2.8,1.1,3.4
25,2.6,1.5,2.6,2.2,3.1,1.4,2.7,1.3,0.7,3.6,4.8,3.3
26,0.9,1.5,2.3,2.1,4.1,2.8,2.3,0.9,0.7,3.3,3.5,3
27,1.7,1.7,3.2,2.8,5,3.5,0.9,2,2.5,3.8,2.6,3.6
28,1.6,2.2,1.8,2.3,4.7,3.8,0.5,3,2.4,3,3.4,3.3
29,0.6,-999,1.7,2.6,3,4.9,0.8,3,5,1.9,4.3,3.1
30,1,-999,1.1,2.7,1.6,4.6,1.2,2.6,3.4,2.2,3.5,2.8
31,1.1,-999,1.7,-999,2.6,-999,2.8,2.2,-999,1.8,-999,2.5
2014,1,2,3,4,5,6,7,8,9,10,11,12
1,1.9,1.8,1.1,1.9,2,3.9,1.4,3.6,1.8,3.5,3.1,3
2,2.4,1.5,1.1,1.6,2.4,4.5,1.8,2.9,1,3.3,2.9,2.5
3,1.9,1.7,0.5,0.9,1.8,3.9,3.1,2.5,1,3.7,4.4,1.7
4,2.1,2.1,0.5,1.4,3.3,3.4,4.1,2.6,1.8,4.7,2.9,2.5
5,2.4,2,1.5,1,2.1,2.1,2.3,2.1,2.6,2.8,1.8,3.3
6,2.3,2,0.3,1.4,1.5,1.9,2.3,1.3,2.9,5.4,1.1,2.5
7,1.9,1.7,0.3,1.7,1.7,3.3,3.1,1.4,4.2,4.6,0.5,2.2
8,1.5,0.8,0.4,1.1,1.7,2.6,2.6,2.6,3.1,4.1,1.4,3.6
