,1,2,3,4,5,6,7,8,9,10,11,12
29,1490,,551,830,1570,1860,4190,5060,3100,1840,902,903
30,1440,,416,942,1580,1960,4070,4700,3190,1710,789,830
31,1410,,424,,1700,,4140,4210,,1590,,859
2011,1,2,3,4,5,6,7,8,9,10,11,12
1,881,1720,549,708,953,1650,2790,2930,1750,1330,1880,1090
2,861,1430,495,589,791,1790,2900,3350,1750,1500,1930,1100
3,830,847,495,538,720,1890,3530,3620,1300,1500,1860,1330
4,854,582,454,424,857,2030,4040,3360,1040,1500,1530,1300
5,916,448,454,371,1310,2240,3970,2980,1070,1410,1260,1050
6,1010,374,422,490,1630,2090,3830,2620,1460,1260,1250,884
7,1060,340,299,640,1860,1620,3640,2620,1940,1290,1190,864
8,1100,295,239,839,1830,1670,3430,2670,1840,1350,1180,830
9,1110,233,272,835,1620,1890,3270,2680,1790,1460,1070,827
10,1030,273,353,826,1570,1830,3180,2750,1820,1360,1020,840
11,879,262,397,775,1640,1830,3070,2740,1820,1220,1130,862
12,853,601,426,724,1600,1980,3120,2760,1780,1190,1090,878
13,849,1220,467,698,1720,2060,3410,2640,1950,1100,1100,868
14,922,1590,492,681,1720,2400,3540,2450,2190,1090,1070,866
15,1070,1590,430,728,1860,2900,3450,2100,2460,1110,1050,815
16,1050,1500,354,897,1880,3050,3330,1940,2400,1230,1010,695
17,871,1650,644,959,2080,3070,3280,2180,2180,1180,1080,711
18,938,1700,914,787,2700,3160,2910,2180,1900,1040,1060,717
19,974,1400,1250,711,3010,3040,2860,2030,1500,1100,1030,631
20,965,1170,1410,974,2810,2580,2820,2020,1510,1120,904,541
21,934,810,1140,1180,2480,2500,2860,2040,2070,1080,844,607
22,1020,445,801,1330,2400,2530,3020,2240,2470,966,802,695
23,964,350,754,1150,2370,2480,2950,2250,2330,948,902,792
24,772,377,850,1070,2310,2200,3030,2270,2050,864,1060,737
25,768,594,810,919,2530,2210,3600,2730,1750,851,1170,792
26,1180,691,787,909,2570,2360,3610,2860,1440,896,1250,821
27,1390,707,828,1100,2520,3010,3450,2550,1350,1070,1240,774
28,1440,641,732,1170,2470,3520,3360,2010,1380,1270,1120,760
29,1400,,685,1220,2310,3270,3400,1530,1450,1390,1070,718
30,1620,,704,1220,1920,3010,3380,1300,1360,1770,1030,647
31,1770,,754,,1650,,3250,1510,,1870,,597
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,626,1630,638,793,1410,3100,2380,8460,2320,3000,1190,1050
2,571,1740,737,653,1320,2680,2480,8140,2380,2800,1160,1130
3,470,1910,794,765,1250,2430,2610,7090,2190,2710,1150,1220
4,508,1940,864,852,1340,2430,2750,6060,2270,2650,1020,1260
5,573,1920,819,936,1460,2540,2790,5270,2330,2580,965,1310
6,740,1910,861,891,1760,2810,2620,4860,2080,2540,1070,1330
7,834,1800,971,919,1850,2980,2560,4790,1830,2620,1240,1320
8,918,1730,987,1020,1810,2750,2590,5120,2230,2390,1320,1270
9,948,1790,997,1250,1920,2630,2760,5360,2590,2170,1290,1190
10,896,1690,841,1180,2140,2650,3210,6000,2340,2000,1200,1200
11,823,916,963,1280,2220,2550,3550,6410,2100,1950,1150,1260
12,751,441,1130,1380,2260,2300,3540,6160,1960,1890,910,1450
13,648,259,1170,1470,2250,2240,3400,5820,1870,1920,889,1480
14,609,260,1290,1520,2080,2170,3450,5430,1740,2020,968,1470
15,709,322,1280,1540,2090,2290,3460,4970,1830,1990,1070,1460
16,1020,442,1220,1460,2130,2420,3080,4800,1880,2040,952,1180
17,1480,482,940,1350,2050,2500,2800,4880,1760,2040,983,1070
18,1690,698,796,1440,2020,2330,2730,5310,1740,2060,1100,1040
19,1790,763,899,1490,2090,2140,2640,6880,1830,2240,1190,1050
20,1810,730,939,1400,2080,2050,2600,7130,1850,2370,1390,1080
21,1710,647,752,1400,2130,1970,2990,6030,2060,2150,1380,1040
22,1580,607,741,1390,2370,1910,3530,5260,2080,1950,1410,969
23,1300,535,610,1370,2670,1980,3500,5130,2080,1890,1340,871
24,1120,449,410,1380,2620,2090,3500,4970,2000,1740,1140,859
25,778,395,548,1560,2680,2000,3580,4670,2170,1420,964,940
26,677,421,553,1530,3070,1990,3740,4220,2870,1210,955,1180
27,632,361,764,1420,3660,2060,5570,3710,3400,948,920,1380
28,589,460,981,1330,3390,2280,6640,3530,3600,955,912,1370
29,638,631,1170,1420,3150,2350,6640,3240,3530,1340,981,1300
30,1110,,1130,1460,2920,2140,7060,2910,3210,1440,1120,1220
31,1480,,1080,,2970,,7940,2580,,1210,,924
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,902,629,421,980,1220,2590,2310,5830,3560,2090,1080,628
