year,month,discharge,pre_1,pre_2,pre_3,pre_4,pre_5
1938,3,748.9735239983011,805.6066827127283,470.0552173297466,394.44995044598613,375.76100807022516,46.2692906696871
1938,4,402.6617584595781,748.9735239983011,805.6066827127283,470.0552173297466,394.44995044598613,375.76100807022516
1938,5,218.17924394733117,402.6617584595781,748.9735239983011,805.6066827127283,470.0552173297466,394.44995044598613
1938,6,93.9544103072349,218.17924394733117,402.6617584595781,748.9735239983011,805.6066827127283,470.0552173297466
1938,7,42.644768511963754,93.9544103072349,218.17924394733117,402.6617584595781,748.9735239983011,805.6066827127283
1938,8,30.55358912643353,42.644768511963754,93.9544103072349,218.17924394733117,402.6617584595781,748.9735239983011
1938,9,28.826277785643494,30.55358912643353,42.644768511963754,93.9544103072349,218.17924394733117,402.6617584595781
1938,10,28.68469488885743,28.826277785643494,30.55358912643353,42.644768511963754,93.9544103072349,218.17924394733117
1938,11,120.60031148237293,28.68469488885743,28.826277785643494,30.55358912643353,42.644768511963754,93.9544103072349
1938,12,212.26107886167352,120.60031148237293,28.68469488885743,28.826277785643494,30.55358912643353,42.644768511963754
1939,1,209.37278776723772,212.26107886167352,120.60031148237293,28.68469488885743,28.826277785643494,30.55358912643353
1939,2,471.4710462976073,209.37278776723772,212.26107886167352,120.60031148237293,28.68469488885743,28.826277785643494
1939,3,499.22129406767664,471.4710462976073,209.37278776723772,212.26107886167352,120.60031148237293,28.68469488885743
1939,4,171.37193826985703,499.22129406767664,471.4710462976073,209.37278776723772,212.26107886167352,120.60031148237293
1939,5,89.16890839586578,171.37193826985703,499.22129406767664,471.4710462976073,209.37278776723772,212.26107886167352
1939,6,57.62423899192978,89.16890839586578,171.37193826985703,499.22129406767664,471.4710462976073,209.37278776723772
1939,7,34.886025768087215,57.62423899192978,89.16890839586578,171.37193826985703,499.22129406767664,471.4710462976073
1939,8,25.524564632592384,34.886025768087215,57.62423899192978,89.16890839586578,171.37193826985703,499.22129406767664
1939,9,25.249893812827413,25.524564632592384,34.886025768087215,57.62423899192978,89.16890839586578,171.37193826985703
1939,11,27.00835339091038,25.249893812827413,25.524564632592384,34.886025768087215,57.62423899192978,89.16890839586578
1939,12,143.36684128557272,27.00835339091038,25.249893812827413,25.524564632592384,34.886025768087215,57.62423899192978
1940,1,205.40846665722782,143.36684128557272,27.00835339091038,25.249893812827413,25.524564632592384,34.886025768087215
1940,2,668.2712728302422,205.40846665722782,143.36684128557272,27.00835339091038,25.249893812827413,25.524564632592384
1940,3,419.9348718674784,668.2712728302422,205.40846665722782,143.36684128557272,27.00835339091038,25.249893812827413
1940,4,201.16097975364576,419.9348718674784,668.2712728302422,205.40846665722782,143.36684128557272,27.00835339091038
1940,5,89.25385813393743,201.16097975364576,419.9348718674784,668.2712728302422,205.40846665722782,143.36684128557272
1940,6,43.9756477417528,89.25385813393743,201.16097975364576,419.9348718674784,668.2712728302422,205.40846665722782
1940,7,27.79555429704092,43.9756477417528,89.25385813393743,201.16097975364576,419.9348718674784,668.2712728302422
1940,8,23.100665439614893,27.79555429704092,43.9756477417528,89.25385813393743,201.16097975364576,419.9348718674784
1940,9,29.817358063145974,23.100665439614893,27.79555429704092,43.9756477417528,89.25385813393743,201.16097975364576
1940,10,33.64009627636982,29.817358063145974,23.100665439614893,27.79555429704092,43.9756477417528,89.25385813393743
1940,11,116.80588984850631,33.64009627636982,29.817358063145974,23.100665439614893,27.79555429704092,43.9756477417528
1940,12,354.52357355231493,116.80588984850631,33.64009627636982,29.817358063145974,23.100665439614893,27.79555429704092
1941,1,343.7632733965737,354.52357355231493,116.80588984850631,33.64009627636982,29.817358063145974,23.100665439614893
1941,2,195.8374628344896,343.7632733965737,354.52357355231493,116.80588984850631,33.64009627636982,29.817358063145974
1941,3,98.03199773467365,195.8374628344896,343.7632733965737,354.52357355231493,116.80588984850631,33.64009627636982
1941,4,112.2469205719949,98.03199773467365,195.8374628344896,343.7632733965737,354.52357355231493,116.80588984850631
1941,5,109.5285289537024,112.2469205719949,98.03199773467365,195.8374628344896,343.7632733965737,354.52357355231493
1941,6,82.1463967152768,109.5285289537024,112.2469205719949,98.03199773467365,195.8374628344896,343.7632733965737
1941,7,43.3526829958941,82.1463967152768,109.5285289537024,112.2469205719949,98.03199773467365,195.8374628344896
1941,8,27.571853320118933,43.3526829958941,82.1463967152768,109.5285289537024,112.2469205719949,98.03199773467365
1941,9,34.4329604983718,27.571853320118933,43.3526829958941,82.1463967152768,109.5285289537024,112.2469205719949
1941,10,30.355373070933034,34.4329604983718,27.571853320118933,43.3526829958941,82.1463967152768,109.5285289537024
1941,11,161.23460285997453,30.355373070933034,34.4329604983718,27.571853320118933,43.3526829958941,82.1463967152768
1941,12,637.9725329180235,161.23460285997453,30.355373070933034,34.4329604983718,27.571853320118933,43.3526829958941
1942,1,327.3396573693898,637.9725329180235,161.23460285997453,30.355373070933034,34.4329604983718,27.571853320118933
1942,2,358.77106045589693,327.3396573693898,637.9725329180235,161.23460285997453,30.355373070933034,34.4329604983718
1942,3,150.50261928359055,358.77106045589693,327.3396573693898,637.9725329180235,161.23460285997453,30.355373070933034
1942,4,100.86365567039502,150.50261928359055,358.77106045589693,327.3396573693898,637.9725329180235,161.23460285997453
1942,5,251.96092312048705,100.86365567039502,150.50261928359055,358.77106045589693,327.3396573693898,637.9725329180235
1942,6,132.12515928075888,251.96092312048705,100.86365567039502,150.50261928359055,358.77106045589693,327.3396573693898
1942,7,52.30072207277361,132.12515928075888,251.96092312048705,100.86365567039502,150.50261928359055,358.77106045589693
1942,8,30.41200622964746,52.30072207277361,132.12515928075888,251.96092312048705,100.86365567039502,150.50261928359055
1942,9,24.989381282741046,30.41200622964746,52.30072207277361,132.12515928075888,251.96092312048705,100.86365567039502
1942,10,25.57270281749965,24.989381282741046,30.41200622964746,52.30072207277361,132.12515928075888,251.96092312048705
1942,11,461.5602435225825,25.57270281749965,24.989381282741046,30.41200622964746,52.30072207277361,132.12515928075888
1942,12,1049.9787625654822,461.5602435225825,25.57270281749965,24.989381282741046,30.41200622964746,52.30072207277361
1943,1,830.5252725470764,1049.9787625654822,461.5602435225825,25.57270281749965,24.989381282741046,30.41200622964746
1943,2,479.96602010477136,830.5252725470764,1049.9787625654822,461.5602435225825,25.57270281749965,24.989381282741046
1943,3,203.76610505450944,479.96602010477136,830.5252725470764,1049.9787625654822,461.5602435225825,25.57270281749965
1943,4,295.90825428288264,203.76610505450944,479.96602010477136,830.5252725470764,1049.9787625654822,461.5602435225825
1943,5,144.3579215630752,295.90825428288264,203.76610505450944,479.96602010477136,830.5252725470764,1049.9787625654822
1943,6,188.84326773325785,144.3579215630752,295.90825428288264,203.76610505450944,479.96602010477136,830.5252725470764
1943,7,64.19368540280334,188.84326773325785,144.3579215630752,295.90825428288264,203.76610505450944,479.96602010477136
1943,8,40.43607532210109,64.19368540280334,188.84326773325785,144.3579215630752,295.90825428288264,203.76610505450944
1943,9,33.75336259379867,40.43607532210109,64.19368540280334,188.84326773325785,144.3579215630752,295.90825428288264
1943,10,70.62154891689084,33.75336259379867,40.43607532210109,64.19368540280334,188.84326773325785,144.3579215630752
1943,11,153.41922695738356,70.62154891689084,33.75336259379867,40.43607532210109,64.19368540280334,188.84326773325785
1943,12,86.73368257114541,153.41922695738356,70.62154891689084,33.75336259379867,40.43607532210109,64.19368540280334
1944,1,164.37774316862524,86.73368257114541,153.41922695738356,70.62154891689084,33.75336259379867,40.43607532210109
1944,2,271.83916182925105,164.37774316862524,86.73368257114541,153.41922695738356,70.62154891689084,33.75336259379867
1944,3,229.30765963471615,271.83916182925105,164.37774316862524,86.73368257114541,153.41922695738356,70.62154891689084
1944,4,246.4675067251876,229.30765963471615,271.83916182925105,164.37774316862524,86.73368257114541,153.41922695738356
1944,5,119.43933172872718,246.4675067251876,229.30765963471615,271.83916182925105,164.37774316862524,86.73368257114541
1944,6,67.87484071924112,119.43933172872718,246.4675067251876,229.30765963471615,271.83916182925105,164.37774316862524
1944,7,36.216904997876256,67.87484071924112,119.43933172872718,246.4675067251876,229.30765963471615,271.83916182925105
