wind,max_temp,min_temp,solar_r,humidity,discharge,rain,water_level
1.5,26.8333,26.8333,22.763,0.74,44.4667,3.2333,515.5233
1.5,26.4333,26.4333,23.558,0.7367,49.6333,3.2333,515.5667
1.0,26.2333,26.2333,25.174,0.7067,51.1333,0.0,515.58
0.5,26.1,26.1,25.353,0.6967,46.9667,0.0,515.5467
0.3333,26.0,26.0,24.8113,0.71,43.3,0.0,515.5167
0.6667,26.5667,26.5667,23.6013,0.7033,43.3,0.0,515.5167
1.0,26.5333,26.5333,23.057,0.7067,41.0,0.0,515.4967
1.0,25.8667,25.8667,23.7957,0.73,40.2667,8.5,515.49
0.8333,24.9,24.9,23.145,0.7833,40.2667,11.7667,515.49
0.6667,24.7667,24.7667,22.4413,0.8267,42.5667,12.1333,515.51
0.4167,25.7333,25.7333,22.3543,0.8133,44.1,3.6333,515.5233
0.3333,26.5667,26.5667,23.655,0.7867,43.3667,0.3667,515.5167
0.5,27.1,27.1,24.1827,0.75,41.8333,0.0,515.5033
0.75,27.1,27.1,25.0697,0.7333,39.5333,0.0,515.4833
1.25,26.5667,26.5667,23.9997,0.7367,39.5333,1.7333,515.4833
1.5,25.5,25.5,24.0093,0.77,40.2667,1.7333,515.49
1.5833,24.8333,24.8333,23.915,0.7567,41.7667,1.7333,515.5033
1.4167,25.0,25.0,25.2093,0.7333,42.1333,0.0,515.5067
2.1667,25.2667,25.2667,25.782,0.6967,41.0,0.0,515.4967
3.0833,24.8333,24.8333,24.1923,0.7333,39.5,4.4333,515.4833
3.1667,24.1667,24.1667,20.0307,0.7867,38.3667,4.6333,515.4733
2.3333,24.0333,24.0333,18.0287,0.8333,38.7667,4.8,515.4767
1.3333,24.5667,24.5667,18.494,0.83,40.6667,0.3667,515.4933
1.1667,24.7,24.7,22.557,0.8233,47.1333,0.3667,515.5467
1.0833,24.5667,24.5667,24.0487,0.8067,48.6667,2.7,515.56
1.1667,24.6667,24.6667,23.0217,0.8,49.8667,2.7667,515.57
1.1667,24.8667,24.8667,19.89,0.7933,45.7,5.1,515.5367
1.0833,24.8333,24.8333,16.2477,0.8167,49.8667,2.7,515.57
1.1667,24.2333,24.2333,12.967,0.8267,55.8667,2.6333,515.6167
1.3333,24.1,24.1,12.9673,0.81,62.6,0.2,515.6467
1.25,24.2,24.2,15.6823,0.7867,61.7333,5.1,515.64
1.0,24.0333,24.0333,18.4983,0.8133,75.3,10.3,515.7333
0.75,23.7667,23.7667,17.832,0.86,100.2667,19.0333,515.9133
0.75,24.1,24.1,19.3597,0.87,114.7667,14.0333,516.0167
0.6667,24.8,24.8,21.8057,0.8367,105.8333,8.8333,515.9567
0.5833,25.6,25.6,25.732,0.7833,79.1667,0.0,515.7867
0.9167,25.8,25.8,26.2323,0.7567,63.0,0.0,515.67
1.3333,26.1333,26.1333,25.3047,0.76,50.7667,0.0,515.5767
2.4167,26.1333,26.1333,24.1733,0.7633,44.9333,0.0,515.53
3.0833,25.8333,25.8333,22.8393,0.77,44.1,1.8333,515.5233
3.0833,25.0333,25.0333,19.3737,0.7833,43.3667,1.8333,515.5167
2.4167,24.4,24.4,18.6523,0.7967,43.3667,2.5333,515.5167
1.5,24.5,24.5,18.642,0.7967,43.3667,0.7,515.5167
1.25,24.8,24.8,21.8323,0.78,44.9,1.7667,515.53
1.1667,24.9667,24.9667,22.4813,0.7933,44.1667,7.5333,515.5233
1.3333,24.8,24.8,22.5713,0.8067,45.4,7.5333,515.5333
1.9167,25.2333,25.2333,21.852,0.81,48.7,6.4667,515.56
2.3333,25.2,25.2,22.5977,0.7967,52.7,3.7333,515.5933
2.5833,25.1,25.1,21.6267,0.7867,52.3,3.7333,515.59
2.4167,24.6333,24.6333,23.7343,0.76,49.4,3.7333,515.5667
2.4167,24.7667,24.7667,23.9217,0.7233,46.9333,0.0,515.5467
2.5833,24.5,24.5,24.3143,0.74,43.3667,3.2667,515.5167
3.25,24.6,24.6,23.1413,0.76,41.4333,3.2667,515.5
3.75,24.7,24.7,23.4783,0.7567,40.6333,3.2667,515.4933
3.8333,25.4,25.4,25.6273,0.7067,40.2667,0.0,515.49
3.4167,25.4333,25.4333,25.9657,0.7133,38.8,9.0333,515.4767
3.5833,25.6333,25.6333,24.947,0.7567,36.6,9.0333,515.4567
4.1667,25.6667,25.6667,23.177,0.8,34.8667,12.0667,515.44
5.0,25.5333,25.5333,22.9633,0.81,35.5667,5.6,515.4467
5.25,25.7,25.7,23.8013,0.8033,35.5667,5.6,515.4467
5.75,25.8667,25.8667,23.29,0.7967,35.9,2.7,515.45
6.0,26.3,26.3,22.8277,0.7967,34.5,0.1333,515.4367
5.0,25.9,25.9,19.4187,0.82,33.8,2.9,515.43
3.75,25.4333,25.4333,20.1073,0.8333,33.8,2.7667,515.43
2.0833,25.0667,25.0667,20.1467,0.8433,33.4667,4.7333,515.4267
1.6667,25.3,25.3,21.2863,0.8367,32.4667,1.9667,515.4167
2.25,25.5667,25.5667,19.981,0.84,32.4667,3.7333,515.4167
3.25,25.8333,25.8333,20.6677,0.84,33.1667,3.5667,515.4233
