,arima_q_hanoi,arima_h_hanoi,arima_q_kontum,arima_h_kontum
0,1421.539281337207,243.87502059556013,33.2783202541764,515.3855114376344
1,1482.4292956025183,252.49941138026333,37.15627203755446,515.3825391723034
2,1541.0569810840852,260.8611830722512,39.417555871866426,515.3902202364562
3,1597.5063931329782,268.96833261757837,41.17665184925446,515.399955369692
4,1651.8584640784973,276.82861344936373,42.75826047120157,515.4087554255229
5,1686.5153846534902,284.7591077584862,37.33691481470051,515.411719901265
6,1737.4809309572443,292.13368756806267,43.84758031451823,515.4413154548524
7,1786.5529907380953,299.2837115896336,46.71645826905408,515.453423924361
8,1833.8019113477826,306.2160175418526,48.499320982607024,515.4617348068747
9,1879.295426573155,312.93723493499533,49.939465022615174,515.46926868771
10,1799.5106296434615,301.8761127020741,80.88059583543141,515.850301566825
11,1846.2180795283361,308.72759503609274,69.4850522375903,515.7666328490992
12,1891.1902573733728,315.370504405193,66.78129564280138,515.7385899119636
13,1934.491631888802,321.81119019182586,66.58449625180279,515.7250045745229
14,1976.1842766476636,328.05580849041235,67.09890223100604,515.7146549584783
15,1859.786792670011,310.9446873412678,63.82113511374397,515.633831452882
16,1903.5667926282836,317.49976510261246,73.20194318051229,515.6649225210006
17,1945.7208133053991,323.85556604133143,76.28542925977837,515.6729844485819
18,1986.309243203534,330.01814824757736,77.52948184954181,515.6762596687012
19,2025.3902280095726,335.99338564328997,78.22924831760572,515.6793268963122
20,1858.7365760093587,310.7339177578856,76.87203832810124,515.7834457509688
21,1903.0993393860006,317.28147503966875,79.18986524343431,515.7752296865101
22,1945.8149686550357,323.63026255186685,80.15781405125406,515.7714889346923
23,1986.944619852787,329.786314517565,80.72539997757384,515.7690677230798
24,2026.5471783681771,335.755481973802,81.16852675608595,515.7674270322036
25,2081.0475343332228,338.50633399567886,172.3377271056561,516.3580312183993
26,2117.1130809730694,344.20808194171866,130.35834195715697,516.1777960554778
27,2151.8393626593656,349.7367182948145,117.79707338123958,516.1183030210484
28,2185.27611191478,355.09749892104384,113.78498561065896,516.0877286487681
29,2217.4712144849073,360.29552011237496,112.26474543664919,516.063162671419
30,1984.7077811856102,326.52689793814176,100.72822482467093,515.9443458225024
31,2024.2859842147416,332.5719997881149,100.10050062945975,515.9210859182267
32,2062.3950866060077,338.4338992032632,99.8135455032309,515.9114533151059
33,2099.089619806493,344.1181483037921,99.62852355677711,515.9067533487621
34,2134.422091114191,349.63013094773976,99.47601340181,515.9029959675164
35,2049.0837321800527,335.8254375801727,80.0629206723681,515.7748756607959
36,2086.210616268878,341.5761214092019,89.60671634849281,515.8298441288462
37,2121.9597017905853,347.1527045396525,92.40151647349435,515.845082382872
38,2156.3821195884484,352.56045783219895,93.23643730754198,515.8484066673161
39,2189.527103012741,357.80449257335846,93.50174243343186,515.8511098121011
40,1836.7771324953658,309.0625466819283,57.61933326408897,515.5752746922773
41,1881.0155792500511,315.5926269161302,68.66110107498824,515.6310330803831
