,Time,evp
223,1998-08-01,118.779854
224,1998-09-01,97.0600357
225,1998-10-01,107.483788
226,1998-11-01,87.78468000000002
227,1998-12-01,100.29538
228,1999-01-01,119.464462
229,1999-02-01,133.565216
230,1999-03-01,151.298828
231,1999-04-01,139.130447
232,1999-05-01,130.07591200000002
233,1999-06-01,102.028984
234,1999-07-01,109.879906
235,1999-08-01,119.806755
236,1999-09-01,102.028984
237,1999-10-01,103.718422
238,1999-11-01,102.028984
239,1999-12-01,96.87233
240,2000-01-01,95.84542
241,2000-02-01,129.369217
242,2000-03-01,157.802628
243,2000-04-01,137.474121
244,2000-05-01,118.09523
245,2000-06-01,113.954445
246,2000-07-01,99.61076
247,2000-08-01,112.618355
248,2000-09-01,94.7412
249,2000-10-01,99.26846
250,2000-11-01,109.648041
251,2000-12-01,108.853012
252,2001-01-01,122.202896
253,2001-02-01,128.927536
254,2001-03-01,143.768112
255,2001-04-01,154.699814
256,2001-05-01,124.941338
257,2001-06-01,111.304344
258,2001-07-01,116.041405
259,2001-08-01,99.95307
260,2001-09-01,111.966866
261,2001-10-01,118.779854
262,2001-11-01,110.641815
263,2001-12-01,104.40303
264,2002-01-01,124.322975
265,2002-02-01,141.22843899999995
266,2002-03-01,167.044846
267,2002-04-01,150.260864
268,2002-05-01,147.05864
269,2002-06-01,97.39129
270,2002-07-01,103.243614
271,2002-07-30,104.4693
272,2002-09-01,85.99584
273,2002-10-01,115.5666
274,2002-11-01,112.894394
275,2002-12-01,118.1615
276,2003-01-01,128.982742
277,2003-02-01,128.9938
278,2003-03-01,164.582474
279,2003-04-01,165.101456
280,2003-05-01,142.807449
281,2003-06-01,118.592133
282,2003-07-01,111.867493
283,2003-08-01,101.598351
284,2003-09-01,104.811592
285,2003-10-01,98.99241
286,2003-11-01,105.606613
287,2003-12-01,119.93927
288,2004-01-01,130.351974
289,2004-02-01,153.95996100000005
290,2004-03-01,168.414078
291,2004-04-01,144.430649
292,2004-05-01,128.8392
293,2004-06-01,99.246376
294,2004-07-01,115.5666
295,2004-08-01,82.97032
296,2004-09-01,103.089035
297,2004-10-01,120.491379
298,2004-11-01,117.53208899999998
299,2004-12-01,129.523819
300,2005-01-01,132.129761
301,2005-02-01,138.8875
302,2005-03-01,180.461
303,2005-04-01,147.610764
304,2005-05-01,146.2305
305,2005-06-01,106.136642
306,2005-07-01,114.053833
307,2005-08-01,98.85991
308,2005-09-01,97.52381
309,2005-10-01,116.935822
310,2005-11-01,113.026917
311,2005-12-01,117.75293
