,1,2,3,4,5,6,7,8,9,10,11,12
14,0.2,1.7,0.5,,0.1,7.3,9.4,,3.9,7.4,,
15,3.2,3.4,19.2,,10.7,2.1,5,,27.2,3,,
16,,6.9,23,0.3,109.3,5.2,,37,,,,
17,,2.4,39.4,1.3,,1,,2.6,,,,
18,1.2,0.1,25.5,16.2,,26.6,6.6,1.4,9.5,,,
19,0.3,0.7,,,,13.2,0.2,36.4,31.3,,,
20,3.8,0.5,0.4,,,15.8,,50.3,17.9,,,
21,0.8,,0.4,,,0.7,,7.6,,,,
22,,1,1.3,,,,,,,,1.4,
23,,2.6,,,50.5,29.7,46.7,,,,17.5,
24,0.5,2.2,1.8,,0.4,65,42.7,88.3,,,,
25,,0.2,,,0.1,90.4,,,,,,
26,0.3,0.6,,,,27.2,,,1.2,,,
27,0.2,,,0.3,,11.5,,,34.3,,,
28,2,,,53.3,,7.9,,,,21.4,,
29,1.9,-999,4,3.4,,,,,,1.6,,
30,,-999,1.7,0,,7,8.4,,54,0.5,0.6,0
31,,-999,,-999,,-999,53.7,,-999,,-999,
2012,1,2,3,4,5,6,7,8,9,10,11,12
1,,0.2,3.4,,,,50,,30.4,,,0.6
2,0,3,1.6,,,12.5,30.1,,32.7,,,4.6
3,2.1,4.8,1.4,0.1,,12.1,,,31.7,,,0.6
4,8.8,,4.4,,,,3.8,,0.4,44.2,1.2,
5,20.7,2,35.2,0.4,0.2,,0.6,,0.2,15.7,,5.2
6,,0.4,,,35.4,34.2,,6.5,29.7,15.1,0.9,
7,0.6,,,30.6,0.5,0,,61.7,41.9,,0.4,0
8,0.1,,0,,2,0.4,,25.8,3.3,,,0.2
9,0.4,2.1,2.3,,16.1,,,26.8,2.3,,,
10,,3.9,1.2,,,2,4,4.6,,,,
11,3.5,2.8,0.8,0.1,,,0.4,,,,37.2,1.7
12,0.2,,,,1.7,,0.2,,,,,0.1
13,,0.5,0.9,,,,,50.6,45.1,,0,
14,1.2,1.4,,,4.5,22.2,,5.5,0,,,
15,4.7,1.2,,,42,10.9,,2.5,,,0.2,
16,0.4,3.9,1.5,0.1,,,,,,,,
17,,,1.8,,,,,70.5,,,0.6,
18,0.4,1.9,,,,,31,116.9,,,,0
19,,2.1,,,,5.4,14.8,3,0.4,,,
20,,,,,,2.4,,,0.3,,,0
21,,,,33.7,1.9,0.3,,,0.7,,,
22,2.8,,,,45.9,0.5,,6.9,,,,1.7
23,0.3,0.2,0.2,1.4,14.5,2.1,22.1,11.6,,19.9,,0.1
24,3.6,,0.1,,27.6,,4.2,,3,,,
25,,,,,46.6,0.2,19.5,,0.1,,,
26,0.6,,,0.2,61.5,,31.8,,25,0.5,5.6,0
27,3,1,,,0.3,1.5,,,5.8,0.3,9,0.9
28,2,0.6,,,,39.5,9,,1.6,14.8,9.3,0.2
29,3.6,1,,,43.8,1.8,37.9,,,12.4,1.4,1.9
30,0.3,-999,,,125.4,,23.5,,,0.6,0.3,3.4
31,0.4,-999,3.5,-999,,-999,3.8,,-999,,-999,
2013,1,2,3,4,5,6,7,8,9,10,11,12
1,,,,0,56.8,1.2,2.4,,15.7,5.5,,
2,,,0.1,2.6,29.9,5.2,,,0.9,0.1,,
3,2.1,,,16.8,2.4,9.4,41,61.2,0.3,,,
4,0.2,7.4,0.8,,33.3,1,12.7,26.2,105,,,
5,1.7,,,,,120.6,32.4,,36,,,
6,1.4,,,2.3,39.4,4.3,,,11.7,,0,
7,0.1,,,,,7.5,32.5,48.6,2.2,,,
8,2.4,,,0,0.3,,0.3,98.5,9.2,,3.7,
9,2.4,0.7,0.5,1.2,,,0,72,1.6,,,
10,,,,2.8,,82.6,,0.1,,,1,
11,,1,,1,0,,0.9,,28.8,,8.9,0.7
12,0.1,2.7,,,,,,,27.9,,,
13,0.3,0.4,,,,,,,0.7,,,13.8
14,,4.7,,,,,,,,,,3
15,0.6,3.8,,,,,0.7,,,,,10.6
16,0.2,,,0.2,,27.7,42.5,,,2.4,0,13.7
17,3.2,0.4,,,20.7,11.1,134.8,,9.7,92.9,,0.1
18,0.3,,,,14.3,,17.2,28,,55.5,,
19,,1.2,,,0.9,,7.8,0.6,,5.4,0,
20,,3,,,,,,35,19.1,,0.1,
21,,0.6,,1.1,,,7.1,39.5,,,0,
22,,3.9,,,,0,14.5,30,,,0.3,
23,,,,,35.4,21.4,25.9,,0,,,
24,,,,,0.4,67.2,0.9,6.9,5.7,0.3,,
25,0.5,,,,10.7,5.2,,0.1,119.5,,,
26,2.3,,,9.3,2.4,,,6.3,72.9,,,
27,0.3,0.1,,,,,86.2,,0.2,,2.2,
28,,,0,0.5,,,20.1,,,0,8.7,
29,,-999,1.4,18.9,0,0.2,13.9,,,2.2,,
30,,-999,3.7,,10.2,,23.5,,0,,,
31,0.8,-999,29.2,-999,,-999,1.9,8.4,-999,6.9,-999,
2014,1,2,3,4,5,6,7,8,9,10,11,12
1,,,,0,3.4,1.4,8.6,,1.5,,,2.5
2,,,0.4,4.3,,,14.1,,21.1,,0.5,0.1
3,,,0.7,1.5,0.9,,6.5,44.7,3.1,,3.8,1.1
4,,,0.7,12.1,,0.6,0.2,,,,,5
5,,,0.1,5.2,58,0.4,,0,,12.6,,
6,,,0.5,15.3,0.3,,1.6,,,,1.7,
7,,,1.8,10.7,0.3,1.6,,15.1,,,15.9,4.3
8,0,0,2.3,0.2,5,19.8,0.2,,,,6.3,
9,,0.2,3.7,3.3,,,,31.2,0.3,,3.7,
10,,,1.5,22.3,,,31.8,,7.6,,0,0.3
11,,,0.3,,,24.1,12.7,,,,0.7,
12,0.3,0.6,1.5,,0,5.8,,14.5,,,0.3,0.5
13,2.4,1.8,3.3,,,1.3,5.9,105.2,0.1,,,
14,,,11.1,,,18.9,6,2.2,,,,
15,,,,,,1.2,,,,,,
16,,0.2,2.8,,0,,,40.7,1.3,,2.2,1.5
17,,0.8,0.1,,0,1.6,0.1,,48.4,6.7,,
18,,2.8,2.8,,3.3,1.9,,,4.9,,,
19,,8.1,3,,8.7,1.2,10,0.7,0.3,,,
20,,,3.2,0.6,,,40.8,0.3,1.6,,,
21,,,33.7,,,,9.2,0.3,103,,,
22,,1.4,4.9,0.7,,16.1,0.9,8.2,,83,,
23,,3.8,29.5,,,,,,,0,,
24,,0.6,16.9,,,,,9.3,,0.1,,
25,1,0.5,,0.8,19.3,,23,24.7,,,,
26,,0.2,0,6.5,0.9,,15.8,5.7,,,,0.3
27,,0.3,,94.5,,,7.5,12.8,,,,3
28,,0.4,,0.2,,8.2,,11.5,,12.2,,
29,,-999,,3.7,,,3,78.7,,3.7,,
30,,-999,,38,2.3,17.8,24.3,10.1,,28.4,,
31,,-999,0.3,-999,14.4,-999,,,-999,,-999,
2015,1,2,3,4,5,6,7,8,9,10,11,12
1,,3.1,1.8,,0.1,0.5,,87.6,,,3.6,
2,,0.6,,,,28.6,,21,,9.8,,
3,,0,,,,3.6,,1.2,7.6,,,0
4,,9.4,,,,0.2,38.4,18.6,1.1,,,10.2
5,,1.8,0.7,,,16.4,82.4,0.2,24.7,0.1,,17.7
6,0.3,,3.2,,,6.1,,5.1,,,,
7,0.4,0,0.3,22.6,,4.7,,,,,0.7,
8,1.7,1,1.4,0.5,,0,,,20.4,,0.5,0.9
9,6.3,,1.8,0.2,20.5,0.1,,,9,1.7,66.5,
10,22.9,,2.7,12.1,,0.2,,,3,26.2,1.7,
11,15.1,4,1.8,,,4.4,0.2,0.2,,1.1,1.4,1.2
12,0.8,,2.2,,,16.2,,,3.1,,,0.1
13,,,0.1,,2.1,0,,,,,3.1,
14,,3.5,1.1,,0.3,62.6,,0.1,,,,
15,,,0.2,,0.3,3.2,,7,2.1,,,0.7
16,,,0.1,,14,57.6,26.2,,4,,,0.8
17,,,,,,,,,15.8,,,0.1
18,,,,,,,3.7,,121.9,,,
19,,,0.3,,,,,,,,,
20,,,0.2,,6.6,,1.5,53.9,,,15.4,
21,,,0.4,,6.9,,0.8,,19.4,,,
22,,,0.5,0.5,1.8,7.1,0.4,,1.8,,,
23,,,0.7,0,7.1,0.4,,,0.6,,2.5,
24,,,36.6,,54.3,30.6,3.1,,0.7,,0.2,
25,,,4.4,,,154.5,1.4,,,,0,9
26,,,3.5,,0.4,,2.7,0,31.2,,5.4,16.1
27,,,1.4,0.2,,,,1.3,,,,
28,,,,,,0.9,5.2,,,,,
29,,-999,,0.4,,,3.7,16.4,,,,3.6
30,,-999,,0.7,,,1.4,27.6,6.5,,,1.4
31,1.1,-999,0.3,-999,0,-999,19.6,0.1,-999,0.2,-999,0.8
2016,1,2,3,4,5,6,7,8,9,10,11,12
1,,1.8,,,,0.3,2,,,,4,
2,,,,0.7,,,13.4,,66.9,,,
3,,,,,,,0.6,9.5,,,,
4,,2.9,0,,,,0,1.4,,,,
5,,0.1,0.4,0.7,,,2.5,43,,8.6,,
6,,,0.4,4.3,,,40.9,,10.2,,,
7,,,,0.6,,52.6,18.9,,2.6,,1.7,
