Time,KonTum
1992-03-01 00:00:00,145.47963000000001
1992-04-01 00:00:00,149.068314
1992-05-01 00:00:00,139.660446
1992-06-01 00:00:00,107.99171399999999
1992-07-01 00:00:00,110.222229
1992-08-01 00:00:00,100.29538000000001
1992-09-01 00:00:00,99.37888000000001
1992-10-01 00:00:00,100.97998
1992-11-01 00:00:00,119.58591499999999
1992-12-01 00:00:00,109.537613
1993-01-01 00:00:00,117.410622
1993-02-01 00:00:00,128.61836200000002
1993-03-01 00:00:00,153.694962
1993-04-01 00:00:00,154.368546
1993-05-01 00:00:00,135.8951
1993-06-01 00:00:00,125.87991299999999
1993-07-01 00:00:00,115.699104
1993-08-01 00:00:00,104.06073
1993-09-01 00:00:00,98.71635440000001
1993-10-01 00:00:00,111.24913799999999
1993-11-01 00:00:00,112.62941000000001
1993-12-01 00:00:00,102.349205
1994-01-01 00:00:00,119.122147
1994-02-01 00:00:00,120.270523
1994-03-01 00:00:00,142.398911
1994-04-01 00:00:00,148.074539
1994-05-01 00:00:00,129.391312
1994-06-01 00:00:00,97.7225647
1994-07-01 00:00:00,94.47619
1994-08-01 00:00:00,117.06831399999999
1994-09-01 00:00:00,103.354034
1994-10-01 00:00:00,118.779854
1994-11-01 00:00:00,125.548645
1994-12-01 00:00:00,112.276054
1995-01-01 00:00:00,133.156662
1995-02-01 00:00:00,127.99999199999999
1995-03-01 00:00:00,158.144913
1995-04-01 00:00:00,170.931686
1995-05-01 00:00:00,145.821945
1995-06-01 00:00:00,118.92339299999999
1995-07-01 00:00:00,112.61835500000001
1995-08-01 00:00:00,120.833679
1995-09-01 00:00:00,97.39129
1995-10-01 00:00:00,105.08764599999999
1995-11-01 00:00:00,108.32298300000001
1995-12-01 00:00:00,112.276054
1996-01-01 00:00:00,116.726013
1996-02-01 00:00:00,140.256729
1996-03-01 00:00:00,162.5949
1996-04-01 00:00:00,142.1118
1996-05-01 00:00:00,118.09523
1996-06-01 00:00:00,113.95444499999999
1996-07-01 00:00:00,114.67218000000001
1996-08-01 00:00:00,114.67218000000001
1996-09-01 00:00:00,94.7412
1996-10-01 00:00:00,108.853012
1996-11-01 00:00:00,89.77225490000002
1996-12-01 00:00:00,117.06831399999999
1997-01-01 00:00:00,115.3568
1997-02-01 00:00:00,126.14492
1997-03-01 00:00:00,158.144913
1997-04-01 00:00:00,145.424423
1997-05-01 00:00:00,127.337471
1997-06-01 00:00:00,117.267082
1997-07-01 00:00:00,99.26846
1997-08-01 00:00:00,102.349205
1997-09-01 00:00:00,109.31678000000001
1997-10-01 00:00:00,127.679771
1997-11-01 00:00:00,131.18013
1997-12-01 00:00:00,122.202896
1998-01-01 00:00:00,127.337471
1998-02-01 00:00:00,137.584518
1998-03-01 00:00:00,170.125626
1998-04-01 00:00:00,156.02484099999995
1998-05-01 00:00:00,139.31814599999998
1998-06-01 00:00:00,135.486542
1998-07-01 00:00:00,135.5528
1998-08-01 00:00:00,118.779854
1998-09-01 00:00:00,97.06003570000001
1998-10-01 00:00:00,107.48378799999999
1998-11-01 00:00:00,87.78468000000002
1998-12-01 00:00:00,100.29538000000001
1999-01-01 00:00:00,119.46446200000001
1999-02-01 00:00:00,133.565216
1999-03-01 00:00:00,151.29882800000001
