1966	10	1496
1966	11	10480
1966	12	16650
1967	1	17750
1967	2	11300
1967	3	9193
1967	4	6571
1967	5	6820
1967	6	3332
1967	7	1336
1967	8	983.3
1967	9	959.1
1967	10	1812
1967	11	1727
1967	12	6673
1968	1	10620
1968	2	17240
1968	3	6445
1968	4	3566
1968	5	2543
1968	6	1682
1968	7	977.5
1968	8	1062
1968	9	1123
1968	10	1915
1968	11	10860
1968	12	18580
1969	1	18640
1969	2	17970
1969	3	9878
1969	4	8022
1969	5	6428
1969	6	3186
1969	7	1886
1969	8	1071
1969	9	1051
1969	10	1892
1969	11	2138
1969	12	15590
1970	1	32900
1970	2	10010
1970	3	9448
1970	4	4417
1970	5	6753
1970	6	2267
1970	7	1234
1970	8	895.3
1970	9	979.6
1970	10	1586
1970	11	8936
1970	12	15120
1971	1	30000
1971	2	12020
1971	3	22430
1971	4	12510
1971	5	7967
1971	6	5032
1971	7	2278
1971	8	1281
1971	9	1457
1971	10	1832
1971	11	10990
1971	12	22030
1972	1	28150
1972	2	17380
1972	3	27100
1972	4	10570
1972	5	6305
1972	6	3794
1972	7	1788
1972	8	1392
1972	9	1374
1972	10	1574
1972	11	2675
1972	12	8893
1973	1	11100
1973	2	5531
1973	3	7686
1973	4	8062
1973	5	3294
1973	6	1594
1973	7	989.5
1973	8	821
1973	9	1138
1973	10	1665
1973	11	29500
1973	12	27950
1974	1	31220
1974	2	16250
1974	3	23260
1974	4	14560
1974	5	6191
1974	6	5380
1974	7	2104
1974	8	1278
1974	9	1123
1974	10	1233
1974	11	2480
1974	12	11050
1975	1	18390
1975	2	19300
1975	3	18660
1975	4	9911
1975	5	9180
1975	6	5060
1975	7	2228
1975	8	1451
1975	9	1255
1975	10	2598
1975	11	7221
1975	12	19020
1976	1	22560
1976	2	9022
1976	3	9314
1976	4	10320
1976	5	5529
1976	6	3145
1976	7	1705
1976	8	1867
1976	9	1376
1976	10	1329
1976	11	1385
1976	12	1238
1977	1	1440
1977	2	1365
1977	3	5653
1977	4	4097
1977	5	5917
1977	6	2181
1977	7	986.4
1977	8	878.9
1977	9	1271
1977	10	1540
1977	11	14000
1977	12	19070
1978	1	14130
1978	2	15310
1978	3	4873
1978	4	6015
1978	5	4354
1978	6	2044
1978	7	1430
1978	8	1117
1978	9	1955
1978	10	1197
1978	11	1557
1978	12	7355
1979	1	8069
1979	2	15860
1979	3	11400
1979	4	13510
1979	5	8608
1979	6	2129
1979	7	1224
1979	8	989.4
1979	9	1123
1979	10	2201
1979	11	6534
1979	12	9965
1980	1	20070
1980	2	7513
1980	3	11080
1980	4	9658
1980	5	4259
1980	6	2674
1980	7	1238
1980	8	1012
1980	9	1027
1980	10	1168
1980	11	3029
1980	12	14960
1981	1	4312
1981	2	10100
1981	3	7003
1981	4	7251
1981	5	4403
1981	6	3293
1981	7	1357
1981	8	940.6
1981	9	997.5
1981	10	2125
1981	11	10880
1981	12	38820
1982	1	19790
1982	2	19840
1982	3	10740
1982	4	15080
1982	5	5348
1982	6	3054
1982	7	1884
1982	8	1231
1982	9	1366
1982	10	3060
1982	11	5648
1982	12	24940
1983	1	14300
1983	2	27970
1983	3	19270
1983	4	12720
1983	5	7761
1983	6	3793
1983	7	2716
1983	8	1634
1983	9	1520
1983	10	1406
1983	11	12320
1983	12	26840
1984	1	9905
1984	2	20920
1984	3	15590
1984	4	13210
1984	5	8863
1984	6	6758
1984	7	2257
1984	8	1445
1984	9	1359
1984	10	2567
1984	11	22280
1984	12	13400
1985	1	6124
1985	2	10310
1985	3	7951
1985	4	9903
1985	5	4295
1985	6	3667
1985	7	1345
1985	8	1124
1985	9	1217
1985	10	2359
1985	11	3884
1985	12	8823
1986	1	11380
1986	2	30620
1986	3	12110
1986	4	5124
1986	5	6710
1986	6	2321
1986	7	1364
1986	8	1029
1986	9	2228
1986	10	2025
1986	11	10590
1986	12	5532
1987	1	13000
1987	2	15030
1987	3	8719
1987	4	4326
1987	5	2517
1987	6	1476
1987	7	1575
1987	8	1052
1987	9	1007
1987	10	927.3
1987	11	1410
1987	12	10120
1988	1	15180
1988	2	5984
1988	3	5817
1988	4	5968
1988	5	7726
1988	6	5025
1988	7	1334
1988	8	899.1
1988	9	886.1
1988	10	1009
1988	11	8425
1988	12	6101
1989	1	15600
1989	2	9176
1989	3	19800
1989	4	9775
1989	5	5407
1989	6	2926
1989	7	1451
1989	8	1272
1989	9	1254
1989	10	1544
1989	11	2059
1989	12	2910
1990	1	9100
1990	2	13240
1990	3	9752
1990	4	5316
1990	5	3585
1990	6	3482
1990	7	1345
1990	8	1030
1990	9	1041
1990	10	1191
1990	11	4833
1990	12	6136
1991	1	9278
1991	2	7746
1991	3	12940
1991	4	9050
1991	5	8309
1991	6	2947
1991	7	1462
1991	8	1068
1991	9	1016
1991	10	1293
1991	11	5666
1991	12	7762
1992	1	4720
1992	2	6080
1992	3	2909
1992	4	7160
1992	5	2073
1992	6	1254
1992	7	1203
1992	8	866.4
1992	9	906.9
1992	10	1032
1992	11	4589
1992	12	11980
1993	1	14380
1993	2	10040
1993	3	16540
1993	4	17460
1993	5	9027
1993	6	8468
1993	7	2230
1993	8	1734
1993	9	1380
1993	10	1327
1993	11	1298
1993	12	4458
1994	1	6714
1994	2	6605
1994	3	6129
1994	4	5924
1994	5	2493
1994	6	1774
1994	7	1113
1994	8	938.3
1994	9	943.5
1994	10	1183
1994	11	5506
1994	12	10060
1995	1	23130
1995	2	12610
1995	3	12060
1995	4	11610
1995	5	7755
1995	6	4091
1995	7	1928
1995	8	1158
1995	9	1026
1995	10	1316
1995	11	4942
1995	12	25550
1996	1	25460
1996	2	26750
1996	3	10060
1996	4	14120
1996	5	11450
1996	6	3478
1996	7	1588
1996	8	1110
1996	9	1205
1996	10	2932
1996	11	16720
1996	12	47490
1997	1	24210
1997	2	14160
1997	3	13420
1997	4	8228
1997	5	5805
1997	6	2915
1997	7	1854
1997	8	1278
1997	9	1692
1997	10	2949
1997	11	4527
1997	12	6085
1998	1	19910
1998	2	15070
1998	3	14160
1998	4	9017
1998	5	12580
1998	6	6032
1998	7	2134
1998	8	1497
1998	9	1355
1998	10	1581
1998	11	14390
1998	12	22610
1999	1	21410
1999	2	25050
1999	3	15080
1999	4	9813
1999	5	8599
1999	6	4815
1999	7	2300
1999	8	1579
1999	9	1318
1999	10	1544
1999	11	4103
1999	12	8764
2000	1	19250
2000	2	15170
2000	3	10630
2000	4	8637
2000	5	6399
2000	6	2930
2000	7	1602
2000	8	1249
2000	9	1303
2000	10	1393
2000	11	1741
2000	12	4089
2001	1	2591
2001	2	3119
2001	3	4283
2001	4	5305
2001	5	3667
2001	6	1517
2001	7	1106
2001	8	960.2
2001	9	943.1
2001	10	1122
2001	11	4476
2001	12	16740
2002	1	15470
2002	2	11470
2002	3	8907
2002	4	8006
2002	5	3486
2002	6	2086
2002	7	1159
2002	8	919.1
2002	9	958.7
2002	10	1083
2002	11	1655
2002	12	11350
2003	1	15500
2003	2	10160
2003	3	12200
2003	4	13300
2003	5	5771
